0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4550 -RA -DL -O11111114 -fo20 -N"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\central_controle.mcppi" -SP"D:\ProgramFiles\Mikroelektronika\mikroC PRO for PIC\Defs\" -SP"D:\ProgramFiles\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\" -SP"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\library\framework\gpio\" -SP"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\library\framework\interrupt\" -SP"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\library\framework\pwm\" -SP"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\library\framework\timer0\" -SP"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\library\framework\usb\" -SP"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\library\framework\adc\" -SP"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\library\tasks\" -SP"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\library\tasks\blink_portd\" -SP"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\library\tasks\livre\" -SP"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\library\tasks\contagem_binaria\" -SP"D:\Area de Trabalho\Projeto Sistema Central de Controle\Firmware_PIC18F4550\library\tasks\controle_pid\" -IP"D:\ProgramFiles\Mikroelektronika\mikroC PRO for PIC\uses\P18\" "main.c" "gpio.c" "interrupt.c" "pwm.c" "timer0.c" "usb.c" "USBdsc.c" "adc.c" "tasks.c" "blink_portd.c" "livre.c" "contagem_binaria.c" "controle_pid.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_ADC_A_D.mcl" "__Lib_USB_genHID.mcl"	 
hint: 0	1139	Available RAM: 2027 [bytes], Available ROM: 32768 [bytes]	 
diagnostics: 0	122	Compilation Started	P18F4550.c
diagnostics: 1606	123	Compiled Successfully	P18F4550.c
diagnostics: 0	122	Compilation Started	__Lib_Delays.c
diagnostics: 172	123	Compiled Successfully	__Lib_Delays.c
diagnostics: 0	122	Compilation Started	adc.h
diagnostics: 74	123	Compiled Successfully	main.c
diagnostics: 0	122	Compilation Started	gpio.h
diagnostics: 20	123	Compiled Successfully	gpio.c
diagnostics: 0	122	Compilation Started	adc.h
diagnostics: 39	123	Compiled Successfully	interrupt.c
diagnostics: 0	122	Compilation Started	adc.h
diagnostics: 32	123	Compiled Successfully	pwm.c
hint: 29	1164	Variable 'duty' has been eliminated by optimizer	pwm.c
diagnostics: 0	122	Compilation Started	adc.h
diagnostics: 82	123	Compiled Successfully	timer0.c
diagnostics: 0	122	Compilation Started	adc.h
diagnostics: 37	123	Compiled Successfully	usb.c
hint: 15	1164	Variable 'auxADC' has been eliminated by optimizer	usb.c
diagnostics: 0	122	Compilation Started	USBdsc.c
diagnostics: 167	123	Compiled Successfully	USBdsc.c
diagnostics: 0	122	Compilation Started	adc.h
diagnostics: 19	123	Compiled Successfully	adc.c
diagnostics: 0	122	Compilation Started	adc.h
diagnostics: 24	123	Compiled Successfully	tasks.c
diagnostics: 0	122	Compilation Started	adc.h
diagnostics: 14	123	Compiled Successfully	blink_portd.c
diagnostics: 0	122	Compilation Started	adc.h
diagnostics: 11	123	Compiled Successfully	livre.c
diagnostics: 0	122	Compilation Started	adc.h
diagnostics: 13	123	Compiled Successfully	contagem_binaria.c
diagnostics: 0	122	Compilation Started	adc.h
diagnostics: 8	123	Compiled Successfully	controle_pid.c
diagnostics: 0	127	All files Compiled in 609 ms	 
hint: 0	1144	Used RAM (bytes): 321 (16%)  Free RAM (bytes): 1706 (84%)	Used RAM (bytes): 321 (16%)  Free RAM (bytes): 1706 (84%)
hint: 0	1144	Used ROM (bytes): 9626 (29%)  Free ROM (bytes): 23142 (71%)	Used ROM (bytes): 9626 (29%)  Free ROM (bytes): 23142 (71%)
diagnostics: 0	125	Project Linked Successfully	central_controle.mcppi
diagnostics: 0	128	Linked in 47 ms	 
diagnostics: 0	129	Project 'central_controle.mcppi' completed: 781 ms	 
diagnostics: 0	103	Finished successfully: 19 mai 2024, 14:28:08	central_controle.mcppi
